,producto
4331,MEZCLADORA DICA P/FREGADERO 4329 
4332,MEZCLADORA DICA P/FREGADERO 4331 
4322,"CHECK REJILLA DICA 1 1/4"""
4288,CASQUILLO COFLEX P/FREGADERO PH-105
4310,MANGUERA COFLEX 3/8 X 3/8 300 CM
4308,"CINTA TEFLON COFLEX 3/4"""
4290,MANGUERA COFLEX P/SANITARIO 1/2 X 50 LS-A50
4291,CONTRA P/LAV. PUSH PH-220 COFLEX
4292,"BISAGRA COFLEX P-B6025 2"""
4293,"BISAGRA COFLEX P-B6026 2"""
4294,BRIDA COFLEX P/MIGITORIO PB-402
4295,"BRIDA COFLEX P/WC PB-200 4"""
4296,"BRIDA COFLEX P/WC PB-300 4"" LARGA"
4297,CHUPON UNIVERSAL COFLEX P-B9030
4309,MANGUERA COFLEX 3/8 X 3/8 100 CM
4298,CUELLO FLEX. P/WC PB-115 COFLEX
4300,JUEGO DE HERRAJES COFLEX PS-A005
4301,TRAMPA COFLEX P/FREG. 2 TARJAS TF-110
4302,TRAMPA COFLEX P/LAV. O FREG. TF-100
4303,VALVULA ANTI-OLORES COFLEX PC-B121
4304,VALVULA DE LLENADO COFLEX P-B3080 EXTENDIBLE
4305,ACOPLE COMPRESION COFLEX 1/2 NM-D01
4306,ACOPLE COMPRESION COFLEX 3/4 NM-D02
4307,CINTA TEFLON COFLEX 1/2
4299,EMPAQUE ORRING COFLEX P/ PUNTA POOL
4434,TERMOSTATO SEMIAUT. P/CALENTADOR 
4236,CINTA AHISLAR PLASTICA 
4436,KOLA LOKA GOTERO
4555,"RED. CAMPANA GALV. 1"" X 3/4"""
4556,"RED. CAMPANA GALV. 1/2"" X 3/8"""
4557,"RED. CAMPANA GALV. 2"" X 1 1/2"""
4559,"RED. CAMPANA GALV. 3/4"" X 1/2"""
4561,"TAPON CAPA GALV. 1 1/4"""
4562,"TAPON CAPA GALV. 1"""
4563,"TAPON CAPA GALV. 1/2"""
4564,"TAPON CAPA GALV. 1/4"""
4566,"TAPON CAPA GALV. 3/4"""
4567,"TAPON CAPA GALV. 3/8"""
4568,"TAPON MACHO GALV. 1 1/2"""
4569,"TAPON MACHO GALV. 1"""
4570,"TAPON MACHO GALV. 1/2"""
4571,"TAPON MACHO GALV. 1/4"""
4572,"TAPON MACHO GALV. 3/4"""
4573,"TAPON MACHO GALV. 3/8"""
4574,"TEE GALV. 1/2"""
4554,"RED. CAMPANA GALV. 1"" X 1/2"""
4553,"RED. CAMPANA GALV. 1 1/4"" X 3/4"""
4552,"RED. CAMPANA GALV. 1 1/2"" X 3/4"""
4551,"RED. BUSHING GALV. 3/8"" X 1/4"""
4532,"NIPLE GALV. 2"" X 3"""
4533,"NIPLE GALV. 2"" X 8"""
4534,"NIPLE GALV. 3"" X R.C."
4535,"NIPLE GALV. 3/4"" X 12"""
4536,"NIPLE GALV. 3/4"" X 2 1/2"""
4537,"NIPLE GALV. 3/4"" X 2"""
4538,"NIPLE GALV. 3/4"" X 3"""
4539,"NIPLE GALV. 3/4"" X 4"""
4575,"TEE GALV. 1/4"""
4540,"NIPLE GALV. 3/4"" X 5 1/2"""
4542,"RED. BUSHING GALV. 1 1/2"" X 1"""
4543,"RED. BUSHING GALV. 1 1/2"" X 3/4"""
4544,"RED. BUSHING GALV. 1 1/4"" X 1"""
4545,"RED. BUSHING GALV. 1 1/4"" X 3/4"""
4546,"RED. BUSHING GALV. 1"" X 1/2"""
4547,"RED. BUSHING GALV. 1"" X 3/4"""
4548,"RED. BUSHING GALV. 1/2"" X 1/4"""
4550,"RED. BUSHING GALV. 3/4"" X 1/2"""
4541,"NIPLE GALV. 3/4"" X R.C."
4576,"TEE GALV. 3/4"""
4577,"TUBO GALV. 1 1/2"""
4578,"TUBO GALV. 1 1/4"""
4602,"CAMPANA NIPLE 3/8"" X 1/4"""
4603,"CAMPANA NIPLE 3/8"" X 3/8"""
4604,CAMPANA SOLD. 3/8 X 1/2 GAS
4605,CODO COB. RED. 3/4 X 1/2
4606,"CODO ESTUFA 3/8"" X 1/2"""
4607,"CODO ESTUFA 3/8"" X 3/8"""
4608,LLAVE D/NARIZ NACOBRE 1/2
4609,LLAVE DE T/ALTO DE 1/2 NACOBRE 
4601,"CAMPANA NIPLE 3/8"" X 1/2"""
4610,LLAVE ESFERA COMPRESION 1/2 NACOBRE
4612,NIPLE TERMINAL 1/4 X 1/2 NPT SOLD
4613,"NIPLE TERMINAL 3/8"" X 1/2"""
4614,"NIPLE TERMINAL 3/8"" X 1/4"""
4615,"NIPLE TERMINAL 3/8"" X 3/8"""
4616,"NIPLE UNION 1/4"""
4617,"NIPLE UNION 3/8"""
4618,PUNTA POOL C/ESPIGA
4435,KOLA LOKA BROCHA
4611,"NIPLE TERMINAL 1/2"" X 1/2"""
4531,"NIPLE GALV. 1/4"" X R.C."
4600,CINTA TEFLON MUELLER 1/2
4598,CESPOL FLEXIBLE BOTE LAVABO 608
4579,"TUBO GALV. 1/2"""
4580,"TUBO GALV. 3/4"""
4581,"TUERCA UNION GALV. 1 1/4"""
4582,"TUERCA UNION GALV. 1"""
4583,"TUERCA UNION GALV. 2"""
4584,"TUERCA UNION GALV. 3/4"""
4585,"YEE GALV. 1/2"""
4587,"RED. HID. CEM. 1""  X 3/4"
4599,CESPOL FLEXIBLE FREGADERO 609
4588,"RED. HID. CEM. 2 1/2"" x 2"""
4590,RED. HID. CEM. 3/4 X 1/2
4591,"TAPA HID. P/CEM. 1 1/4"""
4592,"TAPA HID. P/CEM. 1"""
4593,"TAPA HID. P/CEM. 1/2"""
4594,"TEE HID. P/CEM. 1 1/2"""
4595,"TEE HID. P/CEM. 1"""
4596,"TEE HID. P/CEM. 1/2"""
4597,"TEE HID. P/CEM. 2"""
4589,"RED. HID. CEM. 2"" X 1"""
4530,"NIPLE GALV. 1/4"" X 4"""
4619,"PUNTA POOL C/ROSCA CORTO 1/4"""
4528,"NIPLE GALV. 1/4"" X 2 1/2"""
4462,LLAVE DE GLOBO MUELLER DE 1/2 SOLD.
4464,ADAPTADOR CPVC HEMBRA 1/2
4465,ADAPTADOR CPVC HEMBRA 3/4
4466,ADAPTADOR CPVC HEMBRA C/INS. BCE. 1/2
4467,ADAPTADOR CPVC MACHO 1 1/2
4468,ADAPTADOR CPVC MACHO 1 1/4
4469,"ADAPTADOR CPVC MACHO 1"""
4470,ADAPTADOR CPVC MACHO 1/2
4461,LLAVE DE COMPUERTA 1/2 SOL. MUELLER
4471,ADAPTADOR CPVC MACHO 3/4
4473,ADAPTADOR CPVC MACHO C/INS. BCE. 3/4
4474,CODO CPVC 45 X 1/2
4475,CODO CPVC 45 X 3/4
4476,"CODO CPVC 90 X 1"""
4477,CODO CPVC 90 X 1/2
4478,CODO CPVC 90 X 1/2 OREJA C/INS. BCE.
4479,CODO CPVC 90 X 3/4
4480,"COPLE CPVC 1"""
4472,ADAPTADOR CPVC MACHO C/INS. BCE. 1/2
4481,COPLE CPVC 1/2
4460,CHECK VERTICAL MUELLER 3/4
4458,CHECK HORIZONTAL MUELLER 3/4
4529,"NIPLE GALV. 1/4"" X 3"""
4437,KOLA LOKA TUBO
4438,PLASTILOKA AZUL RAPIDA
4439,PLASTILOKA VERDE
4440,TERMOPAR LENISCO IZQUIERDO
4442,BOQUILLA P/CILINDRO G-3 LINMEX
4443,CILINDRO DESECHABLE GAS LINMEX
4444,BOYLER MAGAMEX PLATINO 6 LTS
4459,CHECK VERTICAL MUELLER 1/2
4445,CONTRA P/WC MASTER CIM
4447,VALVULA T/BAJO MASTER CIM
4448,ESPUMA DE POLIURETANO 340 GRS
4450,DUCTO FLEX. MIBER 6 X 2.40 DFL-A6
4451,CARTUCHO MIBER AG-MZCA
4452,"CONTRACANASTA ""M"" MIBER"
4453,CONTRACANASTA LANZAMATICA MIBER
4455,CHECK COLUMPIO MUELLER 3/4
4457,CHECK HORIZONTAL MUELLER 1/2
4446,"JUEGO DE HERRAJES 2"" MASTER CIM"
4482,COPLE CPVC 3/4
4463,LLAVE ESFERA 1/4 C/ROSC. MUELLER
4484,TAPON CPVC 1/2
4509,"NIPLE GALV. 1 1/2"" X 8"""
4510,"NIPLE GALV. 1 1/4"" X 4"""
4512,"NIPLE GALV. 1""  X 2"""
4513,"NIPLE GALV. 1""  X 4"""
4514,"NIPLE GALV. 1""  X 5"""
4515,"NIPLE GALV. 1""  X 8"""
4516,"NIPLE GALV. 1/2"" X 10"""
4517,"NIPLE GALV. 1/2"" X 12"""
4508,"NIPLE GALV. 1 1/2"" X 4"""
4518,"NIPLE GALV. 1/2"" X 2"""
4520,"NIPLE GALV. 1/2"" X 3"""
4521,"NIPLE GALV. 1/2"" X 4 1/2"""
4522,"NIPLE GALV. 1/2"" X 4"""
4523,"NIPLE GALV. 1/2"" X 5"""
4524,"NIPLE GALV. 1/2"" X 6"""
4525,"NIPLE GALV. 1/2"" X 8"""
4483,RED. CPVC 3/4 X 1/2  
4527,"NIPLE GALV. 1/4"" X 1 1/2"""
4519,"NIPLE GALV. 1/2"" X 3 1/2"""
4506,"COPLE GALV. 3/4"""
4526,"NIPLE GALV. 1/2"" X R.C."
4504,"COPLE GALV. 1/2"""
4505,"COPLE GALV. 1/4"""
4487,TEE CPVC 3/4
4488,TUBO DE CPVC 1 (6.0MT)
4489,TUBO DE CPVC 1/2 (6.0MT)
4490,TUBO DE CPVC 3/4 (6.0MT)
4492,TUERCA UNION CPVC 1/2
4493,TUERCA UNION CPVC 3/4 
4494,"VALVULA CPVC 1"""
4495,VALVULA CPVC 1/2
4486,TEE CPVC 1/2
4497,CODO GALV. 45 X 1 1/4
4498,"CODO GALV. 90 X 1 1/2"""
4499,"CODO GALV. 90 X 1/2"""
4500,"CODO GALV. 90 X 1/4"""
4501,"CODO GALV. 90 X 3/4"""
4502,"CODO NIPLE GALV. 1/2"""
4485,TAPON CPVC 3/4
4496,VALVULA CPVC 3/4
4503,"COPLE GALV. 1"""
5526,"CODO HID. P/CEM. 90 X 1 1/2"""
5527,"CODO HID. P/CEM. 90 X 1"""
5528,"CODO HID. P/CEM. 90 X 1/2"""
5530,"CODO HID. P/CEM. 90 X 3/4"""
5531,"COPLE HID. P/CEM. 1 1/2"""
5532,"COPLE HID. P/CEM. 1"""
5533,"COPLE HID. P/CEM. 2 1/2"""
5537,"COPLE HID. REPARACIÓN 2 1/2"" CON ANILLO"
5535,"COPLE HID. P/CEM. 3/4"""
5536,"COPLE HID. P/CEM. 4"""
5538,"COPLE HID. REPARACIÓN 2"" CON ANILLO"
5539,"COPLE HID. REPARACIÓN 3"" C/ANILLO"
5540,"COPLE HID. REPARACIÓN 4"" C/ANILLO"
5541,"COPLE SANIT. P/CEM. 1 1/2"""
5542,"COPLE SANIT. P/CEM. 2"""
5525,"CODO HID. P/CEM. 45 X 3/4"""
5534,"COPLE HID. P/CEM. 3"""
5524,"CODO HID. P/CEM. 45 X 1 1/2"""
5514,"ADAPTADOR HID. P/CEM. MACHO 1 1/2"""
5522,CAMPANA HIDRAULICA DE 2 
5543,"COPLE SANIT. P/CEM. 3"""
5504,SELLADOR PERMATEX CAB. INDIO 56 GR
5505,GABINETE REINA 100X50
5506,FLOTADOR POLIURETANO No. 4
5507,FLOTADOR POLIURETANO No. 5
5508,REGULADOR PRESIMEX MOD. 7000 A.P.
5509,"REJILLA CROMADA 1/4 VTA. REX 4"""
5510,"ADAPTADOR HID. P/CEM. HEMBRA 1 1/2"""
5523,"CAMPANA HIDRAULUICA DE 3"""
5511,"ADAPTADOR HID. P/CEM. HEMBRA 1"""
5513,"ADAPTADOR HID. P/CEM. HEMBRA 3/4"""
5515,"ADAPTADOR HID. P/CEM. MACHO 1 1/4"""
5516,"ADAPTADOR HID. P/CEM. MACHO 1"""
5517,"ADAPTADOR HID. P/CEM. MACHO 1/2"""
5518,"ADAPTADOR HID. P/CEM. MACHO 2 1/2"""
5519,"ADAPTADOR HID. P/CEM. MACHO 2"""
5520,"ADAPTADOR HID. P/CEM. MACHO 3"""
5521,"ADAPTADOR HID. P/CEM. MACHO 3/4"""
5512,"ADAPTADOR HID. P/CEM. HEMBRA 2"""
5544,"COPLE SANIT. P/CEM. 4"""
5589,"YEE PVC P/CEM. 1 1/2"""
5546,"COPLE SANIT. P/CEM. 8"""
5571,"CODO P/CEM. 90 X 4""LAT. 2"""
5572,"CODO P/CEM. 90 X 6"""
5573,COLADERA INSTA-REX
5574,COLADERA MULTIPLE PVC
5576,"RED. SANIT. 2"" X 1 1/2"" P/CEM."
5577,"RED. SANIT. 3"" X 2"" P/CEM."
5578,"RED. SANIT. 4"" X 2"" P/CEM."
5579,"RED. SANIT. 4"" X 3"" P/CEM."
5570,"CODO P/CEM. 90 X 4"" S. TRAS 2"""
5580,"TAPA D/INSERC. SANIT 2"" "
5582,"TAPA D/INSERC. SANIT 4"" "
5583,"TAPA D/INSERC. SANIT 6"""
5584,TAPON HIDRAULICO C/CAMPANA 2 1/2
5585,"TEE P/CEMENTAR 2"" SANIT."
5586,"TEE P/CEMENTAR 3"" SANIT."
5587,"TEE P/CEMENTAR 4"" SANIT."
5588,"TEE P/CEMENTAR RED. 4"" X 2"" SANIT."
5503,SELLADOR PERMATEX 51-H 120 GR
5581,"TAPA D/INSERC. SANIT 3"" "
5545,"COPLE SANIT. P/CEM. 6"""
5569,"CODO P/CEM. 90 X 4"""
5567,"CODO P/CEM. 90 X 2"""
5548,TUERCA UNION HID. CEM. 1 1/2
5549,TUERCA UNION HID. CEM. 1 1/4 
5550,"TUERCA UNION HID. CEM. 1"" "
5551,TUERCA UNION HID. CEM. 3/4 
5552,ANILLO HIDRAULICOS DE 2 1/2
5554,"ANILLO SANITARIO DE 2"""
5555,"ANILLO SANITARIO DE 4"""
5556,LUBRICANTE P.V.C. 500 GR. REX
5568,"CODO P/CEM. 90 X 3"""
5557,CONO REX P/BOTE CESPOL
5559,"BOTE CESPOL CEM. C/1 SAL. 2"""
5560,"BOTE CESPOL UNIC. C/1 SAL. 2"""
5561,"CODO P/CEM. 45 X 1 1/2"""
5562,"CODO P/CEM. 45 X 2"""
5563,"CODO P/CEM. 45 X 3"""
5564,"CODO P/CEM. 45 X 4"""
5565,"CODO P/CEM. 45 X 6"""
5566,"CODO P/CEM. 90 X 1 1/2"""
5558,"ADAPTADOR PVC GAL ESP. 2"""
5502,TUBO SILICON 75 GR. PENS
5459,"TEE COBRE 3/4"""
5500,CARTUCHO SILICON PEPE TRANSP.
5436,CODO COBRE 45 X 3/4
5437,"CODO COBRE 90 X 1/2"""
5438,"CODO COBRE 90 X 3/4"""
5439,"CODO CRE COBRE 1/2"""
5440,"CODO CRI COBRE 1/2"""
5441,"COPLE COBRE 1 1/4"""
5442,COPLE COBRE 1/2 C/TOPE
5443,"COPLE COBRE 1/2"""
5444,COPLE COBRE 3/4 C/TOPE
5445,"COPLE COBRE 3/4"""
5446,"COPLE CRE COBRE 1/2"""
5447,"COPLE CRE COBRE 3/4"""
5448,COPLE CRE COBRE RED. 1/2 X 3/8
5449,"COPLE CRI COBRE 1/2"""
5450,"COPLE CRI COBRE 3/4"""
5451,FLOTADOR COBRE No. 5
5452,PICTEL GAS
5435,CODO COBRE 45 X 1/2
5433,VALVULA DE PASO VAFF 3/8 X 3/8
5432,VALVULA DE AGUJA C/ESPREA 3/8
5431,VALVULA ANGULAR C/ROSCA NACOBRE
5590,"YEE PVC P/CEM. 2"""
5412,LLAVE DE T/ALTO DE 1/2 NACOBRE 
5413,LLAVE ESFERA COMPRESION 1/2 NACOBRE
5414,"NIPLE TERMINAL 3/8"" X 1/2"""
5415,"NIPLE TERMINAL 3/8"" X 1/4"""
5416,"NIPLE TERMINAL 3/8"" X 3/8"""
5418,"NIPLE UNION 1/4"""
5419,"NIPLE UNION 3/8"""
5453,"RED. BUSHING COBRE 1 1/4"" X 1"""
5420,"PUNTA POOL C/ROSCA CORTO 1/4"""
5422,"TUERCA CONICA GAS 1/4"""
5423,"TUERCA CONICA GAS 3/8"""
5424,"TUERCA CONICA RED. 3/8"" X 1/4"""
5426,TUERCA IZQUIERDA P/PICTEL NACOBRE
5427,TUERCA LOCA 3/8 P/GAS
5428,"TUERCA MACHO P/BARRIL 1/4"""
5429,VALVULA  AGUJA 1/4  X 3/8 ESPIGA
5430,VALVULA ANGULAR C/BARRIL NACOBRE
5421,PUNTA POOL LARGA C/ROSCA
5454,"RED. BUSHING COBRE 3/4"" X 1/2"""
5455,"RED. CAMPANA COB. 1 1/""4 X 1"""
5456,"RED. CAMPANA COB. 3/4""  X 1/2"""
5482,CARRETE SOL. OMEGA 50 X 50
5483,SOLDADURA OMEGA 50 X 50
5484,SOLDADURA OMEGA 95 X 5
5485,PEGAMENTO PITBULL 125 GR. AZUL OMEGA
5486,PEGAMENTO PITBULL 250 GR. AZUL OMEGA
5487,PEGAMENTO PITBULL 500 GR. AZUL OMEGA 
5488,BOMBA PERIFERICA 1/2 HP IGOTO
5489,"LLAVE ESFERA CEM. PVC  1"""
5481,SEGUETA NICHOLSON DIENTE FINO
5490,LLAVE ESFERA CEM. PVC 1 1/2
5492,LLAVE ESFERA CEM. PVC 3/4
5493,"LLAVE ESFERA ROSC. PVC  1"""
5494,VALVULA ANTIRETORNO PCP 6
5495,BULTO PEGAZULEJO PISO S/PISO PEGALEZA
5496,MASTIQUE PENSYLVANIA BOLSA 1 KG
5497,CARTUCHO SILICON ANTIHONGOS BLANCO
5498,CARTUCHO SILICON ANTIHONGOS TRANSPARENTE
5499,CARTUCHO SILICON PENS
5491,LLAVE ESFERA CEM. PVC 1/2
5501,TUBO SILICON 125 GR. ANTIHONGOS
5480,SEGUETA NICHOLSON BI METAL
5478,REGULADOR 1 VIA NACOBRE RN-1AE
5458,"TEE COBRE 1/2"""
5460,"TEE CRI CENTRO COB. 1/2"""
5461,TEE RED. COB. 3/4 X 3/4 X 1/2
5462,"TEE UNION GAS 3/8"""
5463,TOBERA PARA COMAL 3/4
5464,TUBO COBRE T-L 1/2
5465,"TUBO COBRE T-L 3/4"""
5466,"TUBO COBRE T-M 1/2"""
5479,REGULADOR 2 VIAS NACOBRE RN-2AE
5467,"TUBO COBRE T-M 3/4"""
5469,"TUBO FLEXIBLE COB. 1/4"""
5470,TUBO FLEXIBLE COB. 3/16
5471,"TUBO FLEXIBLE COB. 3/8"""
5472,"TUBO FLEXIBLE COB. 5/16"""
5473,"TUERCA UNION COB. 1/2"""
5474,"TUERCA UNION COB. 3/4"""
5476,"YEE COBRE 3/4"""
5477,REGULADOR 1 VIA C/MAN. NACOBRE RN-1PME
5468,"TUBO FLEXIBLE COB. 1/2"""
5591,"YEE PVC P/CEM. 3"""
5696,MANGUERA ARMADA 3/8 X 4MTS AMARILLA
5593,"YEE PVC RED.P/CEM. 4"" X 2"""
5725,TAPA P/MALOS OLORES (TAPACOOL) BLANCA
5726,TAPA PARA TINACO CON ARILLO
5728,YESO
5729,CUBIERTA SINKPRO TEM-8051 80CM 1TAR. 1ESC. DERECHO
5730,CUBIERTA SINKPRO TEM100501 1MT 1TAR. 1ESC. DERECHO
5732,CONECTOR MOVIBLE BRONCE 1/2 
5733,KIT EMPAQUES CALENTADOR SOLAR
5734,BARRA D/MAGNESIO P/CALENTADOR SOLAR 
5738,TUBO P/CALENTADOR SOLAR 
5739,THINER ESTÁNDAR
5740,PEGAMENTO TANGIT ROSA 240 GR.
5741,PEGAMENTO TANGIT ROSA 50 GR.
5742,PEGAMENTO TANGIT ROSA 500 GR.
5743,CALENTADOR DE CUBETA 20 LTS ALUMINIO
5745,TUERCA UNION PLUS 1/2 (20MM)
5746,TUERCA UNION PLUS 3/4 (25MM)
5747,TUERCA UNION PLUS BRIDA 1 1/4 (40 MM)
5724,POLIDUCTO 3/4 C-40 (19 MM)
5723,POLIDUCTO 1/2 REFORZADO C-80 (13MM)
5722,"POLIDUCTO 1"" C-40 (25 MM)"
5721,"POLIDUCTO 1 1/2"" C-40 (38 MM)"
5702,REJILLA P/BOTE CESPOL DE 1/4 DE VUELTA 
5703,ROMPELLAMAS P/QUEMADOR
5704,SOMBRERO DE LAMINA 4
5705,SOPORTE P/LAV. LAMINA JGO
5706,SOPORTE UNIV. P/LAVABO ALUMINO 
5707,TUBOS DE LAMINA 4
5708,TUBOS DE LAMINA 6
5709,TERMOPAR C/ENCENDIDO ELECTRONICO
5749,"ADAPTADOR PLUS HEMBRA 1"""
5710,ADAPTADOR P/LAVADERO C/CONTRA 
5712,BOTON ENCENDIDO UNITROL
5713,"BRIDA PARA TINACO 1 1/2"""
5714,LLAVE PORTA GARRAFON BLANCA 
5715,MANGUERA 3/8 X 4 MTS NEGRA A.P
5716,MANGUERA AHULADA AZUL  1/2
5717,MANGUERA TRAMADA VERDE 1/2
5719,PERILLA DE CONTROL DE TEMPERATURA
5720,PERILLA DE ENCENDIDO UNITROL
5711,BARRA P/TOALLERO AJUSTABLE
5750,"ADAPTADOR PLUS HEMBRA 1/2"""
5751,"ADAPTADOR PLUS HEMBRA 3/4"""
5752,"ADAPTADOR PLUS MACHO 1"" "
5778,LLAVE D/NARIZ URREA LMCO1.13 
5779,LLAVE EMPOTRAR P/REG. 52 URREA ROSC.
5780,LLAVE EMPOTRAR P/REG. 652 URREA SOLD.
5781,"LLAVE T/ALTO FIG. 04-N 1/2"""
5782,MANERAL URREA QUEEN C/CHAPETON GDE
5783,MANERAL URREA QUEEN S/CHAPETON GDE
5785,REGADERA URREA FIG. 3001-B 
5786,CESPOL URREA BOTE FIG. 3732
5777,LLAVE D/NARIZ URREA 21.13
5788,CESPOL URREA P/LAV. FIG. 3711
5790,DISCO URREA DURO P/REG. R207025
5791,RONDANA URREA CARTUCHO 312
5792,ASIENTO VICAR MD. 91 BLANCO
5793,ASIENTO VICAR MD. 92 BLANCO
5796,"TAQUETE PLASTICO 1/4"" "
5797,"TAQUETE PLASTICO 3/8"" "
5798,"TAQUETE PLASTICO 5/16"" "
5411,LLAVE D/NARIZ NACOBRE 1/2
5789,CESPOL URREA P/LAV. FIG. 3712
5701,QUEMADOR ESTRELLA DOBLE CON CODO
5776,"LLAVE D/NARIZ FIG. 19-N 1/2"" URREA"
5773,MASKING TAPE GRANDE 24 X 50
5753,"ADAPTADOR PLUS MACHO 1/2"""
5754,"ADAPTADOR PLUS MACHO 3/4"""
5755,"CODO PLUS 90 X 1"""
5756,CODO PLUS 90 X 1/2
5757,CODO PLUS 90 X 3/4
5758,CODO PLUS HEMBRA 1/2 (20 MM)
5759,COPLE PLUS 1/2 (20MM)
5760,COPLE PLUS 3/4 (25MM)
5774,CARTUCHO URREA R470078
5761,RED. PLUS 1 X 3/4 (32 X 25 MM)
5763,TAPON PLUS 1/2 (20 MM)
5764,TAPON PLUS 3/4 (25 MM)
5765,"TEE PLUS 1"" (32 MM)"
5766,TEE PLUS 1/2 (20 MM)
5767,TEE PLUS 3/4 (25 MM)
5768,"TUBO PLUS 1"" (32 MM)"
5769,TUBO PLUS 1/2 (20 MM) 
5770,TUBO PLUS 3/4 (25 MM)
5762,RED. PLUS 3/4 X 1/2 (25 X 20 MM)
5700,CODO DE LAMINA 90 X 4
5699,ARAÑA DE LAMINA  P/LAVABO 
5698,REJILLA P/BOTE CESPOL DE TORNILLOS 
5625,PIJA FIJADORA 10 X 38
5626,PIJA FIJADORA 10 X 50
5627,PIJA FIJADORA 8 X 38
5628,"REGISTRO 60 X 40 ANGULO 1 """
5629,ACIDO MURIATICO 1 LT
5630,QUEMADOR DE ALUMIO C/TOBERA 3/4
5632,TUERCA CONTRACANASTA GRANDE CON EMPAQUE
5633,TUERCA P/CONTRA CANASTA
5623,SELLADOR SILER 125 GR
5634,ADAPTADOR ESPIGA BRONCE 1 1/2
5636,"ADAPTADOR ESPIGA BRONCE 1"""
5637,ADAPTADOR ESPIGA BRONCE 1/2
5638,ADAPTADOR ESPIGA BRONCE 1/4
5639,ADAPTADOR ESPIGA BRONCE 3/4
5640,ADAPTADOR ESPIGA BRONCE 3/8
5641,ADAPTADOR HEMBRA BRONCE DE 1/2
5642,ADAPTADOR UNIDOR BRONCE DE 1/2
5644,COPLE UNION FLARE 3/8
5635,ADAPTADOR ESPIGA BRONCE 1 1/4
5645,ESPREA QUEMADOR DE 1/4
5622,PEGAMENTO SILER 60 GR. P/PVC
5620,PEGAMENTO SILER 225 GR. P/PVC
5596,BOLA FLOTADOR ROTOPLAS No.5
5598,FILTRO ROTOPLAS PASO 1
5599,MULTICONECTOR ROTOPLAST
5600,REPUESTO PASO 1 BLANCO (TINACO) ROTOPLAS
5601,REPUESTO PASO 2 NEGRO (COCINA) ROTOPLAS
5602,VALVULA DE LLENADO ROTOPLAS 1/2
5603,VALVULA DE LLENADO ROTOPLAS 3/4
5605,CARTUCHO RUGO ANTIGUO LARGO RI-98
5621,PEGAMENTO SILER 480 GR. P/PVC
5606,CARTUCHO RUGO P/ENSAMBLE 98CE CUAD.
5608,"CONTRA SPUD RUGO BCE. 3/4"""
5609,UNION RUGO COBRE A COBRE 1/2 81-U
5610,UNION RUGO COBRE A COBRE 3/4 81-U
5611,BOTON LATERAL 60-KO RUGO
5613,MANERAL RUGO KING ANTIGUO GRANDE RE-13
5615,CUBRE TALADRO 26T RUGO
5618,PASTA PARA SOLDAR  75 GRS.
5619,PASTA PARA SOLDAR 250 GRS.
5607,CARTUCHO RUGO 98CC
5592,"YEE PVC P/CEM. 4"""
5646,EXTENSION P/MANERAL URREA LARGA
5648,REGADERA FIJA DE 6 X 1/2 BRONCE 
5677,EMPAQUE 02 CONICO P/LLAVE
5678,EMPAQUE 03 CONICO P/LLAVE
5679,EMPAQUE 04 PLANO 3/8 P/LLAVE
5680,EMPAQUE 05 PLANO 1/2 P/LLAVE
5681,EMPAQUE 07 CONICO CIEGO
5682,EMPAQUE 13 ORING NEOPRENO 111
5683,EMPAQUE 16 ORING NEOPRENO 114
5685,EMPAQUE 19 CONECTOR DE LLAVE NARIZ
5675,EMPAQUE 01 CONICO P/LLAVE
5687,EMPAQUE 24 PLANO P/LLAVE LAVABO
5689,EMPAQUE 34 ACOPLAR WC
5690,GUANTE DE TELA CON PUNTOS 
5691,KIT EMPAQUES CUELLO MEZC.
5692,KIT EMPAQUES LAVABO
5693,KIT EMPAQUES LLAVE NARIZ
5694,KIT EMPAQUES REGADERA
5695,MANGUERA ARMADA 3/8 X 3 MTS AMARILLA
5697,COLADERA 15 X 15  CON TRAMPA ACERO INOX
5688,EMPAQUE 28 DIAG. T/BAJO
5647,PIJA P/WC BRONCE
5674,CONECTOR HULE 2 X 1 1/4
5672,CONECTOR HULE 1 1/2 X 1 1/4
5649,VALVULA PARA COMAL A.P. 
5650,FILTRO DE CARBON ACTIVADO 78 X 38
5651,BOLA DE HILO DE CAÑAMO
5652,CEMENTO BLANCO
5653,LAVADERO C/PILETA  DE CEM. INF. 60X60
5655,LAVADERO S/PILETA  DE CEM. COBIJERO 88 X 59CM
5656,JUNTA PROEL C/CONO
5657,JUNTA PROEL S/CONO
5673,CONECTOR HULE 2 X 1 1/2
5658,LAVABO ESQUINERO
5662,TUERCA P/CONTRA CANASTA
5663,BOLSA ESTOPA BLANCA
5665,COLADERA FOFO 15 X 15 ECO
5666,COLADERA FOFO 20 X 20 ECO
5667,COLADERA FOFO 25 X 25 ECO
5668,HILO GRAFITADO
5669,LAVADERO C/PILETA  DE GRANITO COBIJERO
5671,GRASA GRAFITADA 
5661,TUERCA CONTRACANASTA GRANDE CON EMPAQUE
5410,"CODO TERMINAL 3/8"" X 1/2"" GAS"
5407,"CAMPANA NIPLE 3/8"" X 3/8"""
5408,CAMPANA SOLD. 3/8 X 1/2 GAS
5139,"ABRAZADERA P.V.C. 3/4"" X 2 1/2"""
5140,"ADAPTADOR EDOMEX INSERCION HEMBRA 1/2"""
