,producto,marca,material,mediana_diaria,sigma_robusta,stock_seguro,ss/6,ss/20,ss/100,ss/200,punto_reorden,rop/6,rop/20,rop/100,rop/200
650,EMPAQUE PARA BRIDA DE 4,SIN MARCA,HULE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
651,"VALVULA BRIDADA DE 6"" FOFO C/VASTAGO RESILIENTE",HIDROVAL,FOFO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
652,"NIPLE GALV. 1 1/4"" X 4 1/2""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
653,MEZCLADORA ANBEC P/LAVABO MEZL117 MANERALES ACRILICO,ANBEC,ACABADOS,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
654,"RED. CPVC 1 1/2 X 1"" ",MUELLER,CPVC,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
655,LLAVE ANBEC INDIVIDUAL P/LAVABO ABML1929 CROMADA,ANBEC,ACABADOS,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
656,LLAVE COMBINADA PRETUL 1/2 X 170 MM,PRETUL,METAL,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
657,"NIPLE GALV. 1 1/2"" X 5""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
658,"NIPLE GALV. 1/2"" X 2 1/2""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
659,BROCA ALT. VEL. 3/64 GREENFIELD,GREENFIED,ACERO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
660,"CRUZ COBRE 3/4""",NACOBRE,COBRE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
661,"NIPLE GALV. 1 1/4"" X R.C.",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
662,ADAPTADOR CPVC HEMBRA 1 1/2 ,MUELLER,CPVC,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
663,CHECK HORIZONTAL URREA 03T.25,URREA,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
664,MEDIO CESPOL FAMA P/LAVABO,FAMA,PLASTICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
665,EMPAQUE 33 CONTRA CANASTA,SIN MARCA,HULE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
666,"NIPLE GALV. 1/2"" X 3""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
667,REJILLA INOX PULIDA CHICA TIPO HELVEX,SIN MARCA,INOX,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
668,"COPLE GALV. 2 1/2""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
669,"COPLE CRI COBRE 1 1/2""",NACOBRE,COBRE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
670,CARTUCHO ANBEC P/MEZCLADORA V3020,ANBEC,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
671,CARTUCHO ANBEC P/MEZCLADORA V3059,ANBEC,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
672,BRIDA PARA TONEL 1,SIN MARCA,PLASTICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
673,FOCO 75 WTS,OSRAM,FOCO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
674,FOCO 60 WTS OSRAM LEED 8.5 W,OSRAM,FOCO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
675,FOCO 100 WTS,OSRAM,FOCO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
676,"RED. CPVC 1 "" X 1/2",MUELLER,CPVC,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
677,CASQUILLO COFLEX P/FREGADERO PH-105,COFLEX,CROMADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
678,"EMPAQUE PARA TUBO CORRUGADO 6""",SIN MARCA,HIDRAULICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
679,GUANTE DE CARNAZA CORTO,VITEX,CARNAZA,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
680,"RED. HID. CEM. 2"" X 1 1/4""",MUELLER,HIDRAULICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
681,LLAVE D/NARIZ CROMADA 18L URREA,URREA,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
682,TEE HULCEN INSERCION 1/2,HULCEN,PLASTICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
683,"RED. CAMPANA GALV. 3"" X 2""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
684,"TEE HULCEN COMBINADA 1/2"" HEMBRA",HULCEN,PLASTICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
685,"RED. CAMPANA GALV. 3/4"" X 1/4""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
686,MEZCLADORA LAVABO ANBEC MEZL8030BN NIQUEL PULIDO,ANBEC,METAL,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
687,TUERCA COMPRESION 1/4 COFLEX UTB-4,COFLEX,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
688,TUERCA LOCA 1/4 P/GAS,NACOBRE,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
689,"CODO COBRE 45 X 1 1/2""",NACOBRE,COBRE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
690,"NIPLE GALV. 1/4"" X 2 1/2""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
691,"TAPA HID. P/CEM. 1/2""",MUELLER,HIDRAULICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
692,DISCO URREA TEFLON R207095,URREA,TEFLON,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
693,"RED. CAMPANA COB. 1 1/""4 X 1""",NACOBRE,COBRE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
694,LIJA POR METRO FANDELI,FANDELI,ABRACIBOS,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
695,TUBOS DE LAMINA 5,SIN MARCA,LAMINA,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
696,"NIPLE GALV. 2"" X 4""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
697,PAQUETE CERAMOSA FLORENCIA S/PEDESTAL BLANCO,CERAMOSA,CERMICO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
698,CANDADO DE LATON IUSA TOTAL 40 MM,IUSA,METAL,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
699,"TUBO T-M COBRE 3/4""",NACOBRE,COBRE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
700,MANIJA URREA FRONTAL P/WC PWC1,URREA,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
701,"RED. BUSHING GALV. 3/4"" X 3/8""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
702,"TUERCA UNION GALV. 1 1/2""",MUELLER,GALVANIZADO,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
703,LLAVE ESFERA CEM. PVC 1 1/4,PCP,PVC,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
704,"LLAVE D/COMPUERTA FIG. 83 1"" URREA",URREA,BRONCE,1.5,0.7413,3,0,0,0,0,15,2,1,0,0
705,LIJA POR METRO,FANDELI,ABRACIBOS,1.1500000059604645,0.9636900088369846,4,1,0,0,0,13,2,1,0,0
706,"TUBO GALV. 1 1/2""",MUELLER,GALVANIZADO,1,1.0378199823260306,4,1,0,0,0,12,2,1,0,0
707,"TUBO FLEXIBLE COB. 3/8""",NACOBRE,COBRE,1,0.9636900088369846,4,1,0,0,0,12,2,1,0,0
708,"TUBO FLEXIBLE COB. 1/4""",NACOBRE,COBRE,1,1.126776007953286,4,1,0,0,0,12,2,1,0,0
709,SOLDADURA OMEGA 50 X 50,OMEGA,ESTAÑO,1,0.7413,3,0,0,0,0,11,2,1,0,0
710,"TUBO HID. C/CAM. 2 1/2"" RD 26",ADVANCE,PVC,1.050000011920929,0.8154300176739693,3,0,0,0,0,11,2,1,0,0
711,TUBO DE CPVC 1 (6.0MT),MUELLER,CPVC,1,0.7413,3,0,0,0,0,11,2,1,0,0
712,LLAVE IND. P/LAVABO 4242 DICA,DICA,CROMADO,1,0.7413,3,0,0,0,0,11,2,1,0,0
713,"TUBO HID. C/CAM. 3"" RD 26",ADVANCE,PVC,1,0.7413,3,0,0,0,0,11,2,1,0,0
714,TELA MOSQUITERA PLAS. 120 CM,DE ACERO,PLASTICO,1,0.7413,3,0,0,0,0,11,2,1,0,0
715,"TUBO NEGRO 1/4"" C/ROSCA",MUELLER,GALVANIZADO,1,0.7413,3,0,0,0,0,11,2,1,0,0
716,"TUBO GALV. 1""",MUELLER,GALVANIZADO,1,0.8673209902793169,3,0,0,0,0,11,2,1,0,0
717,TELA MOSQUITERA PLAS. 90 CM,DE ACERO,PLASTICO,1,0.7413,3,0,0,0,0,11,2,1,0,0
718,TUBO FLEXIBLE COB. 3/16,NACOBRE,COBRE,1,0.7413,3,0,0,0,0,11,2,1,0,0
719,"TUBO HID. P/CEM. 1 1/4"" RD 26",ADVANCE,PVC,1,0.7413,3,0,0,0,0,11,2,1,0,0
720,CLAVO C/CABEZA DE 2 1/2 DE ACERO,CLAVOS NAL.,ACERO,0.9000000059604645,0.5930400088369846,2,0,0,0,0,9,2,0,0,0
721,PUNTA POOL CON ORING UPP-4,COFLEX,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
722,PUNTA POOL CON ORING UPP-5 COFLEX,COFLEX,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
723,PILA ENERGIZER AA,ENERGIZER,ALCALINA,1,0,0,0,0,0,0,8,1,0,0,0
724,PUNTA POOL CON ORRING UPP-5 COFLEX,COFLEX,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
725,PUNTA POOL CON ORING UPP-5,COFLEX,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
726,PILOTO UÑA,IUSA,METAL,1,0,0,0,0,0,0,8,1,0,0,0
727,PIJAS WC C/TAQUETES JGO COFLEX TP-1071,COFLEX,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
728,"PINZA CORTAPERNOS IUSA TOTAL 18""",IUSA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
729,"PINZA CORTAPERNOS IUSA TOTAL 24""",IUSA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
730,"PINZA DE PRESION RECTA 10"" TRUPER PPT-10R",TRUPER,METAL,1,0,0,0,0,0,0,8,1,0,0,0
731,"PINZA PELA CABLE TRUPER 10"" PE-CA-10",TRUPER,METAL,1,0,0,0,0,0,0,8,1,0,0,0
732,BOMBA IGOTO AUTOCEBANTE 1/2 HP,IGOTO,METAL,1,0,0,0,0,0,0,8,1,0,0,0
733,"BARRA DE SEGURIDAD RECTA DICA 1 1/4 X 24"" 4024.9",DICA,CROMADO,1,0,0,0,0,0,0,8,1,0,0,0
734,RAFIA 2.2 G/M 900GRS BLANCO AXR,AXR,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
735,PINZAMINI DE PUNTA Y CORTE TRUPER PM-PU4,TRUPER,METAL,1,0,0,0,0,0,0,8,1,0,0,0
736,BOMBA NORYL 1 HP ,BONASA,NORYL,1,0,0,0,0,0,0,8,1,0,0,0
737,"PINZAS DE ELECTRICISTA 8"" TRUPER T-201-8X",TRUPER,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
738,PISTOLA P/CARTUCHO DE SILICON RO6302,ANBEC,METAL,1,0,0,0,0,0,0,8,1,0,0,0
739,PLASTILOKA AZUL RAPIDA,KOLA LOKA,ADHESIVO,1,0,0,0,0,0,0,8,1,0,0,0
740,PERILLA LENISCO,LENISCO,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
741,PUNTA POOL LARGA C/ROSCA,NACOBRE,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
742,QUEMADOR CHICHARRONERO MEDIANO,SIN MARCA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
743,QUEMADOR ESTRELLA  15CM,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
744,QUEMADOR ESTRELLA  15CM Y 22CM,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
745,BASE P/BOYLER C/REJILLA CHICA,CORONA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
746,BASE P/BOYLER C/REJILLA GRANDE,CORONA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
747,BASE P/BOYLER CORONA,CORONA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
748,BASE PARA BOYLER DE ANGULO,SIN MARCA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
749,BIODIGESTOR LIMPIA FACIL DE 1500 LTS C/REG.,CITIJAL,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
750,QUEMADOR CHICHARRONERO GRANDE ,SIN MARCA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
751,PORTA PAPEL DICA FIG. 1017,DICA,CROMADO,1,0,0,0,0,0,0,8,1,0,0,0
752,QUEMADOR CHICHARRONERO CHICO,SIN MARCA,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
753,QUEMADOR CALOREX 9 LTS TIPO PANAL,CALOREX,METALICO,1,0,0,0,0,0,0,8,1,0,0,0
754,QUEMADOR CALOREX DEPOSITO,CALOREX,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
755,BARRA SEGURIDAD ANGULAR CON JABONERA DE ACERO INOX,RUGO,INOX,1,0,0,0,0,0,0,8,1,0,0,0
756,PORTAROLLO ANBEC CROMO PLASTICO PC1316,ANBEC,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
757,QUEMADOR ESTRELLA 15 CM,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
758,PLASTILOKA VERDE,KOLA LOKA,ADHESIVO,1,0,0,0,0,0,0,8,1,0,0,0
759,BOMBA IGOTO AUTOCEBANTE 1 HP,IGOTO,METAL,1,0,0,0,0,0,0,8,1,0,0,0
760,PUNTA POOL C/ESPIGA,NACOBRE,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
761,QUEMADOR CALOREX 6 LTS TIPO PANAL,CALOREX,METALICO,1,0,0,0,0,0,0,8,1,0,0,0
762,"PUNTA POOL C/ROSCA CORTO 1/4""",NACOBRE,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
763,PIJAS JGO PARA WC ANBEC PIJS,ANBEC,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
764,BARRA P/TOALLERO AJUSTABLE,SIN MARCA,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
765,PORTA ROLLO URREA 705CL.17,URREA,CROMADO,1,0,0,0,0,0,0,8,1,0,0,0
766,"RED. HID. CEM. 2"" X 1 1/2""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
767,"RED. CAMPANA GALV. 2"" X 1 1/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
768,"RED. CAMPANA GALV. 2"" X 1""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
769,"RED. CAMPANA GALV. 2"" X 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
770,"RED. CAMPANA GALV. 2"" X 3/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
771,"RED. CAMPANA GALV. 3"" X 2 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
772,"RED. CAMPANA GALV. 3/4"" X 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
773,"RED. CAMPANA GALV. 3/4"" X 3/8""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
774,"RED. CAMPANA GALV. 3/8"" X 1/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
775,"RED. CAMPANA GALV. 4"" X 3""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
776,RED. CPVC 1 1/2 X 1 1/4 ,MUELLER,CPVC,1,0,0,0,0,0,0,8,1,0,0,0
777,RED. CPVC 1 1/2 X 3/4 ,MUELLER,CPVC,1,0,0,0,0,0,0,8,1,0,0,0
778,PERILLA IUSATROL,IUSA,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
779,"RED. CAMPANA COB. 1"" X 3/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
780,"RED. CAMPANA COB. 2"" X 1 1/2""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
781,"RED. CAMPANA COB. 2"" X 3/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
782,"RED. CAMPANA GALV. 1 1/2"" X 1 1/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
783,"RED. CAMPANA GALV. 1 1/2"" X 1""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
784,"RED. CAMPANA GALV. 1 1/2"" X 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
785,"RED. CAMPANA GALV. 1 1/2"" X 3/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
786,"RED. CAMPANA GALV. 1 1/4"" X 1""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
787,"RED. CAMPANA GALV. 1 1/4"" X 3/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
788,"RED. CAMPANA GALV. 1"" X 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
789,"RED. CAMPANA GALV. 1"" X 3/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
790,"RED. CAMPANA GALV. 1/2"" X 1/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
791,"RED. CAMPANA GALV. 1/2"" X 3/8""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
792,"RED. CPVC 1 1/4 X 1""",MUELLER,CPVC,1,0,0,0,0,0,0,8,1,0,0,0
793,RED. P/ TERMOSTATO,SIN MARCA,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
794,RED. PLUS 1 1/2  X1 1/4 (50 X 40 MM),TUBOPLUS,PPR,1,0,0,0,0,0,0,8,1,0,0,0
795,"RED. PLUS 1 1/4 X 1"" (40 X 32 MM)",TUBO PLUS,PPR,1,0,0,0,0,0,0,8,1,0,0,0
796,RED. PLUS 1 1/4 X 3/4 (40 X 25 MM),TUBOPLUS,PPR,1,0,0,0,0,0,0,8,1,0,0,0
797,RED. CPVC 1 1/4 X 1/2,MUELLER,CPVC,1,0,0,0,0,0,0,8,1,0,0,0
798,RED. CPVC 1 1/4 X 3/4,MUELLER,CPVC,1,0,0,0,0,0,0,8,1,0,0,0
799,"RED. HID. CEM. 1 1/2"" X 1""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
800,"BISAGRA COFLEX P-B6036 3""",COFLEX,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
801,ASPERSOR METALICO C/ESTACA 2 VIAS TRUPER DOS-11X,TRUPER,METAL,1,0,0,0,0,0,0,8,1,0,0,0
802,ASPERSOR T/PISTOLA P/RIEGO 7 FUNCIONES TRUPER PR-208,TRUPER,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
803,AUTOMATICO P/HIDRO SK-2H ORANGE PUMPS,ORANGE PUMPS,LATON,1,0,0,0,0,0,0,8,1,0,0,0
804,AVELLANADOR P/TUBO DE COBRE JAV-7 TRUPER,TRUPER,METAL,1,0,0,0,0,0,0,8,1,0,0,0
805,AVELLANADOR P/TUBO GAS DURMAN,DURMAN,METAL,1,0,0,0,0,0,0,8,1,0,0,0
806,"RED. HID. CEM. 2 1/2"" x 2""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
807,"BARRA ANBEC A. INOXIDABLE 20"" 1920",ANBEC,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
808,"BARRA ANBEC A. INOXIDDABLE 24"" BS24SS",ANBEC,INOX,1,0,0,0,0,0,0,8,1,0,0,0
809,"BARRA ANBEC SATINADA 18"" B30118",ANBEC,CROMADO,1,0,0,0,0,0,0,8,1,0,0,0
810,BARRA D/MAGNESIO P/CALENTADOR SOLAR ,SOLARIS,INOX,1,0,0,0,0,0,0,8,1,0,0,0
811,"BARRA DE SEGUERIDAD RECTA 1 1/4 X 18"" 4018.9",DICA,CROMADO,1,0,0,0,0,0,0,8,1,0,0,0
812,BARRA DE SEGURIDAD FONTHY .60CM,FONTHY,CROMADO,1,0,0,0,0,0,0,8,1,0,0,0
813,BARRA DE SEGURIDAD FONTHY 60CM,FONTHY,CROMADO,1,0,0,0,0,0,0,8,1,0,0,0
814,"RED. HID. CEM. 1 1/2"" X 1/2""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
815,"RED. HID. CEM. 1 1/2"" X 3/4""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
816,"RED. HID. CEM. 1 1/4"" X 1""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
817,"RED. HID. CEM. 1 1/4"" X 3/4""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
818,"RED. HID. CEM. 1""  X 3/4",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
819,"RED. HID. CEM. 1"" X 1/2""",MUELLER,HIDRAULICO,1,0,0,0,0,0,0,8,1,0,0,0
820,"BARRA ANBEC A. INOXIDABLE 16"" 1919",ANBEC,ACERO,1,0,0,0,0,0,0,8,1,0,0,0
821,"RED. BUSHING COBRE 1 1/2"" X 1 1/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
822,"RED. BUSHING COBRE 1 1/2"" X 1""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
823,"RED. BUSHING COBRE 1 1/2"" X 1/2""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
824,"RED. BUSHING COBRE 1 1/2"" X 3/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
825,"RED. BUSHING COBRE 1 1/4"" X 1""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
826,"RED. BUSHING COBRE 1 1/4"" X 1/2""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
827,"RED. BUSHING COBRE 1 1/4"" X 3/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
828,"RED. BUSHING COBRE 1"" X 1/2""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
829,"RED. BUSHING COBRE 1"" X 3/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
830,"RED. BUSHING COBRE 2"" X 1 1/2""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
831,"RED. BUSHING COBRE 2"" X 3/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
832,QUEMADOR ESTRELLA 25 CM,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
833,"RED. CAMPANA GALV. 2 1/2"" X 2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
834,QUEMADOR ESTRELLA 30 CM,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
835,QUEMADOR ESTRELLA 30 CM.Y 40CM,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
836,QUEMADOR ESTRELLA DOBLE CON CODO,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
837,QUEMADOR KALOTRON,KALOTRON,METAL,1,0,0,0,0,0,0,8,1,0,0,0
838,QUEMADOR MAGAMEX 6 LTS TIPO PANAL,MAGAMEX,METALICO,1,0,0,0,0,0,0,8,1,0,0,0
839,QUEMADOR MAGAMEX DEPOSITO,MAGAMEX,SIN CATEGORIA,1,0,0,0,0,0,0,8,1,0,0,0
840,QUEMADOR MAGAMEX DEPOSITO  MOD. 9038,MAGAMEX,METALICO,1,0,0,0,0,0,0,8,1,0,0,0
841,QUEMADOR MAGAMEX DEPOSITO  mod 9038,MAGAMEX,METALICO,1,0,0,0,0,0,0,8,1,0,0,0
842,QUEMADOR MAGAMEX DEPOSITO ANTIGUO,MAGAMEX,SIN CATEGORIA,1,0,0,0,0,0,0,8,1,0,0,0
843,QUEMADOR RUDO DE DEPOSITO,CINSA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
844,QUEMADOR VENTURY CINSA MODERNO,CINSA,METALICO,1,0,0,0,0,0,0,8,1,0,0,0
845,RAC 5C P/ HIDRONEUMATICO,ORANGE PUMPS,BRONCE,1,0,0,0,0,0,0,8,1,0,0,0
846,RAFIA 2.2 G/M 500GRS BLANCO AXR,AXR,PLASTICO,1,0,0,0,0,0,0,8,1,0,0,0
847,QUEMADOR ESTRELLA 25 CM Y 22 CM,SIN MARCA,LAMINA,1,0,0,0,0,0,0,8,1,0,0,0
848,"RED. CAMPANA GALV. 2"" X 1 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
849,"RED. BUSHING GALV. 2"" X 3/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
850,"RED. BUSHING GALV. 3"" X 2 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
851,"RED. BUSHING GALV. 3"" X 2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
852,"RED. BUSHING GALV. 3/4"" X 1/2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
853,"RED. BUSHING GALV. 3/8"" X 1/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
854,"RED. BUSHING GALV. 4"" X 2""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
855,"RED. CAMPANA COB. 1 1/2"" X 1""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
856,"RED. CAMPANA COB. 1 1/2"" X 3/4""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
857,"RED. CAMPANA COB. 1 1/4"" X 3/4",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
858,"RED. CAMPANA COB. 1"" X 1/2""",NACOBRE,COBRE,1,0,0,0,0,0,0,8,1,0,0,0
859,"RED. BUSHING GALV. 1 1/2"" X 1 1/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
860,"RED. BUSHING GALV. 1 1/2"" X 1""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
861,"RED. ANGER 4"" X 3"" PVC",REXOLIT,PVC,1,0,0,0,0,0,0,8,1,0,0,0
862,"RED. BUSHING GALV. 1 1/2"" X 3/4""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
863,"RED. BUSHING GALV. 1 1/4"" X 1""",MUELLER,GALVANIZADO,1,0,0,0,0,0,0,8,1,0,0,0
